Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Y haplogroup (manual curation in ISOGG format)
1200	n/a (female)
1200	n/a (female)
1200	n/a (female)
1200	I1a1b
1200	R1b1a2a1a1c2b2a1a1a1
1200	n/a (female)
1200	n/a (female)
1200	n/a (female)
1200	n/a (female)
1200	n/a (female)
1200	I1
1050	R1b1a2a1a
1050	I1a1b
1050	R1b1a2a1a
1050	n/a (female)
1050	I2
1050	R1b1a2a1a1
1050	R1b1a2a1a1c1a
1050	R1b1a2a1a1
1050	I2a2
1050	R1b1a2a1a2
1050	R1b1a2a1a2
1050	R1b1a2a1a2e
1050	I
1345	..
1345	..
1345	..
1345	..
1345	..
1345	..
1345	..
1345	..
1345	..
1345	..
1345	n/a  (sex unknown)
1345	n/a  (sex unknown)
1498	n/a (female)
1503	n/a (female)
1482	n/a (female)
1430	n/a (female)
1430	n/a (female)
1364	n/a (female)
1483	n/a (female)
1469	n/a (female)
1497	n/a (female)
1445	n/a (female)
1455	..
1525	n/a (female)
1471	n/a (female)
1405	n/a (female)
1430	n/a (female)
1455	..
1430	n/a (female)
1455	n/a (female)
1445	n/a (female)
1455	..
1500	..
1477	..
1529	n/a (female)
1491	n/a (female)
1475	n/a (female)
1350	..
1467	n/a (female)
1445	n/a (female)
1455	..
1430	n/a (female)
1455	..
1430	n/a (female)
1455	..
1430	n/a (female)
1455	..
1430	..
1550	R1b1a2a1a2
1550	R1b1a2a1a2e
1550	R1b1a2a1a
1550	R1b1a2a1a1
1550	R1b1a2a1a2
1550	R1b1a2a1a2
1550	n/a (female)
1550	I
1550	n/a (female)
1550	I1a3
1550	..
1550	n/a (female)
1650	..
800	R1b1a2a1a1
775	n/a (female)
800	R1b1a2a1a2c1f2
850	I1a2
850	n/a (female)
850	R1b1a2a1a2a1a1a
850	I1a3a2b
800	I1a2
850	NO
850	I2a2a1b2
850	R1b1a2a1
850	R1b1a2a1a1c2b2b1a
775	R1b1a2a1a1c2b2a1a1a1
850	R1b1a2a1a
850	I1a2
1150	R1b1a2a1a
1150	..
1150	R1a
1150	R1b1a2a1a1c2b2b1a1
1250	R1b1a2
1250	n/a (female)
1610	..
950	n/a (female)
950	n/a (female)
900	IJ
900	I
900	CT
900	I1
900	n/a (female)
950	n/a (female)
900	I1
900	R1a1a1b1a3a1
900	I1
998	n/a (female)
1103	n/a (female)
900	R1a1a1
950	n/a (female)
776	n/a (female)
878	n/a  (sex unknown)
845	n/a (female)
726	n/a (female)
834	I1a
762	n/a (female)
931	R1b1a1b1a1
843	n/a (female)
935	Q1b1a1a
1024	n/a (female)
637	Q1b
663	n/a (female)
