Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Y haplogroup (manual curation in ISOGG format)
3325	n/a  (sex unknown)
6450	..
6438	..
6494	n/a (female)
6775	n/a (female)
5397	..
7200	n/a (female)
5385	..
6345	..
6371	n/a (female)
7200	..
5140	n/a (female)
5154	n/a (female)
4692	n/a (female)
4625	n/a (female)
4510	R1b - V88
4682	R1b - V88
4682	R1b - V88
4675	n/a (female)
6076	I2a1b1a
6080	n/a (female)
6141	n/a (female)
5820	I
7200	n/a (female)
5398	n/a (female)
7200	n/a (female)
3058	..
4750	n/a (female)
4712	G2a2
4940	H2a1
4940	G2a2
4879	n/a (female)
4756	G2a2
4761	n/a (female)
4932	n/a (female)
4940	H2a1
4940	n/a (female)
5521	n/a (female)
5613	n/a (female)
5630	n/a (female)
5600	T1a1
5600	n/a (female)
5704	n/a (female)
5661	I2a1
5632	T1a1
5650	n/a (female)
30350	..
30800	..
30800	..
30800	..
29800	..
29800	..
63900	n/a (female)
63900	n/a (female)
98700	n/a (female)
3301	..
3380	..
4226	..
4383	n/a (female)
4226	R1b1a2
2612	..
3838	n/a (female)
4021	..
4040	n/a (female)
4569	..
3022	n/a (female)
1997	..
2609	..
2602	..
3950	n/a (female)
4237	n/a (female)
4091	n/a (female)
4048	R1b1a1b1a1a2c1
3938	R1b1a1b1a1a2c1
4248	n/a (female)
4052	R1b1a1b1a1a2c1
4122	R1b1a1b1a1a2c1
3948	n/a (female)
4237	R1b1a1b1a1a2c1
3994	n/a (female)
4063	R1b1a1b1a1a2c1
4250	R1b1a1b1a1a2c1
4250	R1b1a1b1a1a
4070	R1b1a1b1a1a2
4250	n/a (female)
4250	R1b1a1b1a1a2c1
4150	R1b1a1b1a1a2c1
4150	R1b1a1b1a1a2
4045	I2a1b1a1a1
4239	R1b1a1b1a1
4333	R1b1a1b1a1a2c1
4156	n/a  (sex unknown)
4250	R1b1a1b1a1a2c1
4042	n/a (female)
4231	n/a (female)
4216	n/a (female)
4121	R1b1a1b1a1a2c
4199	n/a (female)
3671	R1b1a1b1a1a2c1
3936	R1b1a1b1a1a
4150	n/a (female)
4137	R1b1a1b1a1a2c1
3975	n/a (female)
3807	R1b1a1b1a1a2c1
3950	R1b
3950	n/a (female)
3950	n/a (female)
3900	R1b1a1b1a1a2c
4106	n/a (female)
3698	R1b1a1b
3770	R1b1a1b1a1a2c1
4075	R1b1a1b1a1a2c1a3b
3790	R1b1a1b1a1a2c
4056	R1b1a1b1a1a2c1
3875	n/a (female)
3975	n/a (female)
3774	n/a (female)
3615	R1b1a1b
4078	R1b1a1b1a1a2c1
4080	R1b1a1b1a1a2c1
3998	R1b1a1b1a1
3808	n/a (female)
3762	R1b1a1b1a1a2
4073	n/a (female)
3848	n/a (female)
3783	n/a (female)
4293	n/a (female)
3993	R1b1a1b1a1a2c1
3758	R1b1a1b1a1a2c1
3750	R1b1a1b1a1a2c1a1d
4050	R1b1a1b1a1a2c1
3569	R1b1a1b1a1a2
3520	n/a (female)
3734	R1b1a1b1a1a2
4030	n/a (female)
3995	I2a1b1a1a1
3797	n/a (female)
3970	n/a (female)
3778	n/a (female)
3942	n/a (female)
4034	R1b1a1b1a
4086	R1b1a1b1a1a2c1
2421	n/a (female)
2175	R1b1a1b1a1a2b1
2175	R1b1a1b1a1a2c1b1
2045	n/a (female)
1970	n/a (female)
1930	R1b1a1b1a1a2c1
1971	n/a (female)
2054	R1b1a1b1a1a2
2238	n/a (female)
2302	R1b1a1b1a1a2c1
2237	n/a (female)
2238	n/a (female)
2175	n/a (female)
2175	n/a (female)
2175	n/a (female)
2175	R1b1a1b1a1a2a
2175	n/a (female)
2175	n/a (female)
2175	n/a (female)
2175	R1b1a1b1a1a2c1a1b
2175	R1b1a1b1a1a2d1
2175	n/a (female)
2175	n/a (female)
2175	n/a (female)
2175	R1b1a1b1a1a2b1
2175	R1b1a1b1a1a2c1
2175	n/a (female)
2175	n/a (female)
2175	R1b1a1b1a1a2c1
2175	n/a (female)
2175	R1b1a1b1a1a2c1
2175	R1b1a1b1a1a2
2175	n/a (female)
2081	R1b1a1b1a1a2a
2104	n/a (female)
2074	R1b1a1b1a1a2c1a1a1a1a
2149	R1b1a1b1a1a2
2065	n/a (female)
2175	R1b1a1b1a1a2c1
2202	n/a (female)
2175	R1b1a1b1a1a2c1
2121	n/a (female)
3759	n/a (female)
4228	R1b1a1b1a1a2c1
4000	R1b1a1b1a1a2c1
2147	R1b1a1b1a1a2a1a2
2443	R1b1a1b1a1a1c1
2469	n/a (female)
2457	n/a (female)
2586	R1b1a1
2599	R1b1a1b1a1a2c1a5
2391	n/a (female)
2612	R1b1a1b1a1a2
2408	n/a (female)
2589	n/a (female)
2531	R1b1a1b1a1a2c1
2512	F
2443	n/a (female)
2594	R1b1a1b1a1a
2374	n/a (female)
2408	n/a (female)
2396	R1b1a1b1a1
2455	n/a (female)
2419	n/a (female)
2591	n/a (female)
2604	n/a (female)
2415	n/a (female)
2438	I2a1b1b
2550	R1b1a1b1a1a2c1
2570	n/a (female)
2597	n/a (female)
2571	n/a (female)
2352	R1b1a1b1a1a2c1
2579	R1b1a1b1a1a2c1
2550	n/a (female)
2487	n/a (female)
2592	R1b1a1b1a1a2c1a1a1a1
2522	n/a (female)
2554	R1b1a1b1a1a2
2598	n/a (female)
5575	..
2350	I1
2548	R1b1a1b1a1a2
1981	R1b1a1b1a1a2c1
1973	R1b1a1b1a1a2c1a5b1a1a
2163	n/a (female)
2929	n/a (female)
2900	n/a (female)
2800	n/a (female)
2945	n/a (female)
2914	R1b1a1b1a1a2c1
2912	R1b1a1b1a1a2c1
2808	R1b1a1b1a1a2c1
2889	n/a (female)
2801	n/a (female)
2898	P1
2789	n/a (female)
2834	n/a (female)
2839	n/a (female)
2945	..
3039	R1b1a1b1a1a2c1
3033	R1b1a1b1a1a2c1a4b3a
3015	R1b1a1b1a1a2c1a
3086	n/a (female)
2810	R1b1a1b1a1a2
2823	n/a (female)
2900	n/a (female)
2900	n/a (female)
2900	n/a (female)
2945	n/a  (sex unknown)
2945	..
3030	n/a (female)
2928	R1b1a1b1a1a2c1
2945	n/a (female)
2067	R1b1a1b1a1a2c1a6a1
1976	R1b1a1b1a1a2c1a1i3
2022	R1b1a1b1a1a2c1
2051	R1b1a1b1a1a2c1a5
2051	I2a1a1a1a1
1973	R1b1a1b1a1a2c1
2002	R1b1a1b1a1a2b1
2048	n/a (female)
1947	..
1924	n/a (female)
2048	G2a2b2a1a1b
2051	n/a (female)
1922	R1b1a1b1a1a2c1
1995	n/a (female)
2043	R1b1a1b
2068	R1b1a1b1a1a2c1
1960	n/a (female)
2043	n/a (female)
2051	n/a (female)
2027	n/a (female)
1984	n/a (female)
2048	n/a (female)
3252	R1b1a1b1a1a2c1b
3423	R1b1a1b1a1a2c1b1
3425	R1b1a1b1a1a2c1
3162	R1b1a1b1a1a2c
3273	n/a (female)
3423	R1b1a1b1a1a2a2a
3429	R1b1a1b1a1a2c1
3401	I2a1b2
3398	n/a (female)
3271	n/a (female)
3422	n/a (female)
3200	R1b1a1b1a1a2c1b1
3430	n/a (female)
3386	R1b1a1b1a1a2c1
3400	n/a (female)
3306	R1b1a1b1a1a2
