Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Y haplogroup (manual curation in ISOGG format)
860	970-1210 calCE (1760±15 BP, PSUAMS-5476)	..
1045	720-1090 calCE (1900±20 BP, PSUAMS-3736)	..
1070	690-1070 calCE (1945±15 BP, PSUAMS-5324)	..
1250	510-890 calCE (2155±20 BP, PSUAMS-4835)	n/a (female)
1150	620-980 calCE (2055±15 BP, PSUAMS-5328)	..
610	1210-1470 calCE (1485±15 BP, PSUAMS-5329)	..
1085	690-1040 calCE (1950±20 BP, PSUAMS-3737)	..
1020	810-1050 calCE (1895±15 BP, PSUAMS-5474)	..
1100	710-990 calCE (1985±20 BP, PSUAMS-5475)	..
860	970-1210 calCE (1760±15 BP, PSUAMS-5476)	..
1080	730-1010 calCE (1960±20 BP, PSUAMS-5477)	n/a (female)
1145	620-990 calCE (2050±15 BP, PSUAMS-4836)	..
725	1050-1400 calCE (1600±15 BP, PSUAMS-4837)	n/a (female)
1205	630-860 calCE (2090±20 BP, PSUAMS-5478)	..
1140	640-980 calCE (2030±20 BP, PSUAMS-3738)	n/a (female)
1355	480-710 calCE (2230±20 BP, PSUAMS-5479)	n/a (female)
1085	690-1040 calCE (1950±20 BP, PSUAMS-3737)	..
1100	710-990 calCE (1985±20 BP, PSUAMS-5475)	..
860	970-1210 calCE (1760±15 BP, PSUAMS-5476)	..
1140	640-980 calCE (2030±20 BP, PSUAMS-3738)	n/a (female)
1126	709-888 calCE (1208±24 BP, OxA-31215)	..
1763	75-300 CE	n/a (female)
1763	75-300 CE	n/a (female)
1813	75-200 CE	n/a (female)
1813	75-200 CE	..
1813	75-200 CE	n/a (female)
1100	800-900 CE	..
1829	27-210 calCE (1918±28 BP, Ua-56442)	n/a (female)
1786	81-236 calCE (1880±30 BP, Beta-451575)	..
1725	129-321 calCE (1825±28 BP, Ua-56453)	n/a (female)
1761	121-246 calCE (1850±28 BP, Ua-56443)	..
1698	131-336 calCE (1810±30 BP, Beta-451576)	..
1000	600-1300 CE	..
1107	709-956 calCE (1187±31 BP, UBA-31236)	..
1150	600-1000 CE	..
1263	610-775 calCE (1351±32 BP, UBA-31237)	..
813	1046-1218 calCE (900±19 BP) [R_combine: (884±23 BP, OxA-31755); (925±29 BP, OxA-X-2653-36)]	..
1744	121-325 calCE (1837±35 BP, UBA-34047)	n/a (female)
905	830-1260 calCE [union of two dates: 900-1260 calCE (1780±15 BP, PSUAMS-5325); 830-1190 calCE (1825±20 BP, PSUAMS-1906)]	..
875	900-1250 calCE (1765±20 BP, PSUAMS-3739)	n/a (female)
795	990-1320 calCE (1695±15 BP, PSUAMS-5332)	n/a (female)
615	1280-1390 calCE (645±15 BP, PSUAMS-4859)	n/a (female)
605	1292-1397 calCE (632±28 BP, UBA-33770)	n/a (female)
850	900-1300 CE	F
950	900-1100 CE	n/a  (sex unknown)
950	900-1100 CE	n/a (female)
850	900-1300 CE	R1a1a1b1a1a1c1c
900	900-1200 CE	R1a1a1b1a3a
900	900-1200 CE	n/a (female)
950	900-1100 CE	n/a (female)
950	900-1100 CE	R1
950	900-1100 CE	BT
900	900-1200 CE	I1
900	900-1200 CE	n/a (female)
950	900-1100 CE	n/a (female)
950	900-1100 CE	R1b1a1b1a1
900	900-1200 CE	I1
900	900-1200 CE	T1a1a
900	900-1200 CE	n/a (female)
900	1000-1100 CE	I1
900	900-1200 CE	R1b1a1b1a1a2c
950	900-1100 CE	I1a1b1
900	900-1200 CE	I
900	900-1200 CE	I1a1
1050	800-1000 CE	I1a1b1
950	900-1100 CE	I1a
950	900-1100 CE	N1a1a1a1a1a
900	900-1200 CE	I1
950	900-1100 CE	n/a (female)
950	900-1100 CE	n/a (female)
950	900-1100 CE	n/a (female)
950	900-1100 CE	R1b1a1b1a1a2
900	900-1200 CE	R1a1a1b1
900	900-1200 CE	I1a
850	1000-1200 CE	I1
950	900-1100 CE	n/a (female)
761	1053-1259 calCE (862±26 BP, Ox-A-32884)	..
1000	900-1000 CE	n/a (female)
1460	415-571 cal CE (1580±40 BP, TO-6693)	I2a1b1a1a1b1a
1020	890-970 CE	R1a1a1b1a3a1a3b2~
1000	900-1000 CE	R1b1a1b1a1a2c1a3a2
1589	54-668 CE [union of two dates: (54-130 calCE); (548-668 calCE)]	R1b1a1b1a1a2c1
1000	900-1000 CE	R1b1a1b1a1a1b1a
930	880-1160 calCE	n/a (female)
1112	650-1026 calCE [union of two dates: (650-980 calCE); (890-1026 calCE)]	n/a (female)
1400	525-575 CE	..
1600	200-500 CE	..
467	1431-1617 calCE (460±30 BP, Beta-433422)	n/a (female)
1183	665-884 calCE (1310±50 BP, Pta-4373)	n/a (female)
355	1504-1793 calCE (310±30 BP, Beta-398218)	n/a (female)
491	1419-1611 calCE (480±30 BP, Beta-398219)	n/a (female)
390	1483-1644 calCE (360±30 BP, Beta-398220)	n/a (female)
435	1445-1624 calCE (430±30 BP, Beta-398221)	n/a (female)
1153	785-810 CE	..
1153	785-810 CE	n/a (female)
1153	785-810 CE	n/a (female)
1153	785-810 CE	..
1153	785-810 CE	n/a (female)
854	1025-1160 calCE (960±30 BP, Beta-459794)	..
750	1100-1300 CE	..
937	899-1147 calCE (1030±30 BP, Beta-372984)	n/a (female)
750	1100-1300 CE	..
750	1100-1300 CE	n/a (female)
750	1100-1300 CE	n/a (female)
750	1100-1300 CE	..
750	1100-1300 CE	..
750	1100-1300 CE	..
750	1100-1300 CE	n/a  (sex unknown)
950	900-1100 CE	..
750	1100-1300 CE	..
1000	900-1000 CE	..
750	1100-1300 CE	..
900	1000-1100 CE	n/a (female)
900	1000-1100 CE	..
900	1000-1100 CE	n/a (female)
950	750-1250 CE	n/a (female)
1038	774-992 calCE (1140±30 BP, Beta-448953)	..
1006	887-1017 calCE (1100±30 BP, Beta-458691)	n/a (female)
908	990-1154 calCE (1010±30 BP, Beta-458692)	n/a (female)
876	993-1155 calCE (990±30 BP, Beta-448950)	..
828	1040-1214 calCE (910±30 BP, Beta-477258)	n/a (female)
908	990-1154 calCE (1010±30 BP, Beta-448952)	..
550	1300-1500 CE	..
550	1300-1500 CE	n/a (female)
550	1300-1500 CE	n/a  (sex unknown)
400	1500-1600 CE	..
400	1500-1600 CE	n/a (female)
400	1500-1600 CE	n/a (female)
400	1500-1600 CE	n/a (female)
400	1500-1600 CE	n/a (female)
400	1500-1600 CE	..
400	1500-1600 CE	..
400	1500-1600 CE	..
1800	100-200 CE	..
1387	483-603 calCE (1520±20 BP, PSUAMS-2110)	n/a (female)
1450	400-600 CE	..
1650	200-400 CE	n/a (female)
1550	261-531 calCE (1660±25 BP, PSUAMS-2081)	..
1650	200-400 CE	..
1600	200-500 CE	..
1600	200-500 CE	..
1800	79-213 calCE (1900±20 BP, PSUAMS-8222)	n/a (female)
1600	200-500 CE	n/a (female)
1750	100-300 CE	..
1777	125-220 calCE (1870±15 BP, PSUAMS-8175)	n/a (female)
1800	100-200 CE	n/a (female)
1795	80-215 calCE (1895±20 BP, PSUAMS-4212)	..
1287	647-676 calCE (1355±15 BP, PSUAMS-8223)	..
1800	100-200 CE	n/a (female)
1650	200-400 CE	..
1600	200-500 CE	..
1392	416-700 CE	..
1392	416-700 CE	n/a (female)
1392	416-700 CE	..
1392	416-700 CE	n/a (female)
1392	416-700 CE	n/a (female)
1300	600-700 CE	..
1300	600-700 CE	n/a (female)
1300	600-700 CE	n/a (female)
1300	600-700 CE	..
1300	600-700 CE	..
1392	416-700 CE	..
1450	400-600 CE	n/a (female)
1450	400-600 CE	..
1468	421-542 calCE (1595±25 BP, PSUAMS-2117)	..
1450	400-600 CE	n/a (female)
1450	400-600 CE	n/a (female)
1450	400-600 CE	..
1450	400-600 CE	n/a (female)
1450	400-600 CE	..
1195	675-876 calCE (1250±25 BP, PSUAMS-2074)	..
1450	400-600 CE	..
1400	400-700 CE	..
1392	416-700 CE	n/a (female)
1392	416-700 CE	..
1392	416-700 CE	..
830	1027-1220 calCE (920±50 BP, GrN-32324)	Q1b1a1a1
685	1229-1283 calCE (759±17 BP, MAMS-39623)	Q1b1a1a1
672	1265-1292 calCE (733±17 BP, MAMS-39624)	Q1b1a1a1
725	1000-1450 CE	Q1b1a1a
855	1021-1166 calCE (960±35 BP, GrN-32330)	n/a (female)
725	1000-1450 CE	Q1b1a1a1
659	1227-1385 calCE (720±35 BP, GrN-32315)	n/a (female)
675	1261-1294 calCE (739±18 BP, MAMS-39625)	n/a (female)
646	1277-1380 calCE (691±17 BP, MAMS-39626)	na
659	1227-1385 calCE (720±35 BP, GrN-32315)	Q1b1a1a
698	1217-1288 calCE (770±35 BP, GrN-32319)	n/a (female)
602	1290-1405 calCE (620±40 BP, GrN-32329 )	n/a (female)
950	500-1500 CE	..
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	..
1100	650-1050 CE	..
1100	650-1050 CE	..
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	..
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	..
1100	650-1050 CE	..
1100	650-1050 CE	..
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	..
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	..
1100	650-1050 CE	..
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	n/a (female)
1223	669-820 calCE (1270±22 BP, UGAMS-34383)	..
1177	682-878 calCE (1240±22 BP, UGAMS-34387)	n/a (female)
1090	772-957 calCE (1170±22 BP, UGAMS-34388)	n/a (female)
1138	706-884 calCE (1220±22 BP, UGAMS-34393)	..
1115	774-884 calCE (1200±13 BP) [R_combine: (1220±22 BP, UGAMS-34384); (1190±15 BP, PSUAMS-4593)]	n/a (female)
1155	702-881 calCE (1230±22 BP, UGAMS-34386)	..
1103	772-946 calCE (1180±22 BP, UGAMS-34391)	n/a (female)
990	893-1022 calCE (1080±23 BP, UGAMS-34389)	..
1031	773-990 calCE (1140±22 BP, UGAMS-34390)	..
1214	673-825 calCE (1260±22 BP, UGAMS-34394)	n/a (female)
1090	772-957 calCE (1170±22 BP, UGAMS-34385)	..
1223	669-820 calCE (1270±22 BP, UGAMS-34382)	..
1125	784-879 calCE (1213±13 BP) [R_combine: (1210±22 BP, UGAMS-34395); (1215±15 BP, PSUAMS-4594)]	..
1112	772-892 calCE (1190±22 BP, UGAMS-34392)	n/a (female)
1100	650-1050 CE	..
1100	650-1050 CE	..
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	n/a (female)
1075	700-1050 CE	..
1100	650-1050 CE	..
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	..
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	n/a (female)
1150	650-950 CE	..
1100	650-1050 CE	..
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	..
1100	650-1050 CE	n/a (female)
1100	650-1050 CE	n/a (female)
1075	700-1050 CE	n/a (female)
1100	650-1050 CE	n/a (female)
1150	650-950 CE	n/a (female)
1100	650-1050 CE	..
1100	650-1050 CE	..
999	892-1016 calCE (1090±22 BP, UGAMS-34403)	..
1138	706-884 calCE (1220±22 BP, UGAMS-34404)	..
1119	773-887 calCE (1200±22 BP, UGAMS-34405)	n/a (female)
1127	710-886 calCE (1210±22 BP, UGAMS-34408)	..
1177	682-878 calCE (1240±22 BP, UGAMS-34397)	n/a (female)
1127	710-886 calCE (1210±22 BP, UGAMS-34396)	n/a (female)
1223	669-820 calCE (1270±22 BP, UGAMS-34406)	..
1230	676-773 calCE (1272±12 BP) [R_combine: (1260±22 BP, UGAMS-34409); (1250±25 BP, PSUAMS-3908); (1285±15 BP, PSUAMS-4253)]	n/a (female)
1112	772-892 calCE (1190±22 BP, UGAMS-34398)	..
1177	682-878 calCE (1240±22 BP, UGAMS-34399)	n/a (female)
1102	772-949 calCE (1180±24 BP, UGAMS-34400)	..
1049	773-978 calCE (1150±23 BP, UGAMS-34402)	..
1238	655-775 calCE (1320±22 BP, UGAMS-34407)	..
1239	656-775 calCE (1320±20 BP, UGAMS-35229)	n/a (female)
1125	750-900 CE	..
1100	650-1050 CE	..
1150	650-950 CE	..
1100	650-1050 CE	..
1150	650-950 CE	n/a (female)
1200	700-800 CE	CT
1200	700-800 CE	I1
1200	700-800 CE	I1a1b1a4a2
1650	200-400 CE	N1a1a1a1a
1550	300-500 CE	n/a (female)
1405	433-639 calCE (1521±38 BP, UBA-28275)	..
900	900-1200 CE	n/a (female)
900	1000-1100 CE	I2a1b1a2b1a2a
1000	800-1100 CE	I2a1b1
1061	772-987 calCE (1155±30 BP, Ua-22710)	n/a (female)
973	892-1032 calCE (1060±35 BP, Ua-37646)	..
900	900-1200 CE	n/a (female)
900	900-1200 CE	F
975	900-1050 CE	CT
900	900-1200 CE	n/a (female)
900	900-1200 CE	n/a (female)
900	900-1200 CE	n/a (female)
1000	800-1100 CE	N1a1a1a1a1a1a
964	895-1033 calCE (1055±30 BP, Ua-22712)	..
900	900-1200 CE	..
900	900-1200 CE	..
900	900-1200 CE	..
900	900-1200 CE	..
994	886-1029 calCE (1080±40 BP, Ua-22732)	..
870	994-1158 calCE (985±35 BP, Ua-22734)	..
900	900-1200 CE	n/a (female)
900	900-1200 CE	n/a (female)
900	900-1200 CE	..
900	900-1200 CE	..
919	901-1154 calCE (1020±35 BP, Ua-22728)	n/a (female)
1018	774-1018 calCE (1115±35 BP, Ua-22722)	n/a (female)
863	995-1160 calCE (975±35 BP, Ua-22733)	..
900	900-1200 CE	..
798	1040-1226 calCE (885±35 BP, Ua-22740)	..
857	998-1164 calCE (965±35 BP, Ua-22741)	..
950	800-1200 CE	n/a (female)
950	800-1200 CE	R1b1a1b1a1a
975	900-1050 CE	R1b1a1b1a1a1 
975	900-1050 CE	R1
1000	800-1100 CE	n/a (female)
1000	800-1100 CE	n/a (female)
1000	800-1100 CE	R1b
1000	800-1100 CE	R1b1a1b
1000	800-1100 CE	R1b1a1b
1000	800-1100 CE	n/a (female)
900	900-1200 CE	I1
900	900-1200 CE	R1a1a1
900	900-1200 CE	n/a (female)
900	900-1200 CE	I1a
900	900-1200 CE	R1b1a1b1a1a1b1a1
900	900-1200 CE	R1a1a
900	900-1200 CE	R1b1a1b1a1a2c1
1085	710-991 calCE (1170±45 BP, LuSNo-10564)	I2a1b1a2b1
1052	772-1014 calCE (1140±50 BP, LuSNo-10267)	R1b1a1b1a1a2e
893	901-1162 calCE (1005±45 BP, LuSNo-10552)	n/a (female)
1000	800-1100 CE	R1b1a1b1a1a
1091	707-990 calCE (1175±45 BP, LuSNo-10559)	R1b1a1b1a1a2
1069	709-995 calCE (1155±50 BP, LuSNo-10270)	I1a2a1a1a
900	900-1200 CE	R1b1a1b1a1a1c2b2a1b1a4b1
1000	800-1100 CE	I2a1b1a2b
1000	800-1100 CE	I1
1000	800-1100 CE	R1a1a1b1a
1000	800-1100 CE	R1b1a1b1a1a2c1b2a1a1
1000	800-1100 CE	J2
1000	800-1100 CE	I2a1b1a2b1a2a
1110	690-977 calCE (1190±45 BP, LuSNo-10557)	R1b1a1b1a1a2c1a4b2c1a
900	900-1200 CE	R1a1a1b1a3a
1134	677-955 calCE (1210±45 BP, LuSNo-10562)	n/a (female)
1000	800-1100 CE	I1a1
893	901-1162 calCE (1005±45 BP, LuSNo-10539)	n/a (female)
939	892-1153 calCE (1035±45 BP, LuSNo-10540)	R1a1a1b1a3a2a1
1097	706-987 calCE (1180±45 BP, LuSNo-10546)	L2
887	899-1168 calCE (1000±50 BP, LuSNo-10271)	I1a2a1a1a
1092	705-991 calCE (1175±50 BP, LuSNo-10567)	n/a (female)
1000	800-1100 CE	I1
900	900-1200 CE	G2a2b2a1a1b1a
900	900-1200 CE	N1a1a1a1a1a2a1a2
900	900-1200 CE	R1b1a1b1a1a1c1a1
900	900-1200 CE	R1a1a1b1a3a
900	900-1200 CE	T1a2b1
900	900-1200 CE	N1a1a1a1a1a1a
900	900-1200 CE	R1b1a1b1a1a2b1c1b
900	900-1200 CE	I1a1b
900	900-1200 CE	R1a1a1b1a3a2
900	900-1200 CE	n/a (female)
900	900-1200 CE	R1b1a1b1a1a2a1b1a
900	900-1200 CE	I1a1b
900	900-1200 CE	R1b1a1b1a1a2c1
900	900-1200 CE	N1a1a1a1a1a1a
900	900-1200 CE	I1
900	900-1200 CE	J2a1a1b2a1b1
900	900-1200 CE	R1b1a1b1a1a1c2b1
900	900-1200 CE	R1b1a1b1a1a1c2b2b
900	900-1200 CE	R1b1a1b
900	900-1200 CE	I2a1b1a
975	900-1050 CE	n/a (female)
975	900-1050 CE	n/a (female)
975	900-1050 CE	N1a1a1a1a1a
975	900-1050 CE	R1b1a1b1a1a2
975	900-1050 CE	n/a (female)
975	900-1050 CE	n/a (female)
975	900-1050 CE	n/a (female)
975	900-1050 CE	n/a (female)
975	900-1050 CE	n/a (female)
975	900-1050 CE	R1a1a1b
975	900-1050 CE	n/a (female)
975	900-1050 CE	n/a (female)
975	900-1050 CE	n/a (female)
1097	706-987 calCE (1180±45 BP, LuSNo-10536)	n/a (female)
1000	800-1100 CE	I1a2a1a1d2
1097	706-987 calCE (1180±45 BP, LuSNo-10553)	R1b1a1b1a1a1c2b2a1b1b1
975	900-1050 CE	n/a (female)
975	900-1050 CE	R1a1a1b1a
975	900-1050 CE	R1a1a1
975	900-1050 CE	n/a (female)
975	900-1050 CE	n/a (female)
975	900-1050 CE	n/a (female)
975	900-1050 CE	n/a (female)
975	900-1050 CE	n/a (female)
975	900-1050 CE	n/a (female)
975	900-1050 CE	n/a (female)
975	900-1050 CE	N1a1a1a1a1a2a1a
975	900-1050 CE	n/a (female)
975	900-1050 CE	R1a1a1b1a2b
975	900-1050 CE	n/a (female)
975	900-1050 CE	R1b1a1b1a1a1c2b2b1a
975	900-1050 CE	R1b1a1b1a1a1c2b2a1b1a
975	900-1050 CE	R1a1
975	900-1050 CE	n/a (female)
975	900-1050 CE	I1a1b
975	900-1050 CE	E1b1b1b2a1a4
975	900-1050 CE	R1a1a1b1a2b
975	900-1050 CE	n/a (female)
975	900-1050 CE	n/a (female)
975	900-1050 CE	n/a (female)
975	900-1050 CE	G2a2b2a1a1b1a1a2a1a
975	900-1050 CE	R1a1a1b1a3a1a1a
975	900-1050 CE	I1a1a1a1a
975	900-1050 CE	N1a1a1a1a1a1a
900	1000-1100 CE	n/a (female)
975	900-1050 CE	I2a1a2b1a1
975	900-1050 CE	n/a (female)
975	900-1050 CE	R1b1a1b1a1a
975	900-1050 CE	n/a (female)
975	900-1050 CE	R1a1a1b1a2b
975	900-1050 CE	n/a (female)
975	900-1050 CE	R1a1a1b1a2a
1500	250-650 CE	..
1550	1-800 CE	n/a (female)
1459	431-556 calCE (1570±20 BP, PSUAMS-8396)	..
1550	1-800 CE	n/a (female)
1550	1-800 CE	O2a2b-F130
1550	1-800 CE	O2a2-P201
1550	1-800 CE	O1a2-F1081
1550	1-800 CE	O1a1a1a1-CTS10963
1550	1-800 CE	n/a (female)
1550	1-800 CE	O1a2-F1081
1550	1-800 CE	n/a (female)
1715	133-324 calCE (1820±20 BP, PSUAMS-7909)	n/a (female)
1800	100-200 CE	O2a2b2a2-F1903
1550	1-800 CE	O2a2b2-CTS1366
1833	32-206 calCE (1920±20 BP, PSUAMS-7910)	n/a (female)
1641	245-378 calCE (1745±20 BP, PSUAMS-7911)	n/a (female)
1644	246-365 calCE (1745±15 BP, PSUAMS-7948)	n/a (female)
1550	1-800 CE	O2a2b2a2-F706
1473	415-540 calCE (1610±25 BP, PSUAMS-2075)	n/a (female)
1857	22-201 calCE (1935±20 BP, PSUAMS-7936)	n/a (female)
1595	258-413 calCE (1700±20 BP, PSUAMS-7912)	n/a (female)
1550	1-800 CE	n/a (female)
1496	401-538 calCE (1635±20 BP, PSUAMS-7949)	n/a (female)
1550	1-800 CE	O1a1a1a1-CTS1711
1235	660-774 calCE (1315±15 BP, PSUAMS-7939)	n/a (female)
1575	300-450 CE	O2a2a1a2a2-Y26412
1532	376-532 calCE (1650±15 BP, PSUAMS-7940)	n/a (female)
1550	1-800 CE	O1a1a1a1-CTS1711
1550	1-800 CE	n/a (female)
1550	1-800 CE	O1a-Page20
1550	1-800 CE	n/a (female)
1459	431-556 calCE (1570±20 BP, PSUAMS-7941)	n/a (female)
1550	1-800 CE	..
1550	1-800 CE	O1a1a1a-F518
1409	439-586 calCE (1540±15 BP, PSUAMS-7942)	O1a1a1a-Z23466
1575	300-450 CE	O2a2b2-F3223
1550	1-800 CE	..
1550	1-800 CE	n/a (female)
1550	1-800 CE	..
1550	1-800 CE	..
1550	1-800 CE	n/a (female)
1550	1-800 CE	n/a (female)
1550	1-800 CE	n/a (female)
1550	1-800 CE	n/a (female)
1550	1-800 CE	..
1550	1-800 CE	..
1550	1-800 CE	n/a (female)
1550	1-800 CE	n/a (female)
1550	1-800 CE	n/a (female)
1357	539-643 calCE (1520±30 BP, Beta-434912)	n/a (female)
1357	539-643 calCE (1520±30 BP, Beta-434912)	n/a (female)
1357	539-643 calCE (1520±30 BP, Beta-434912)	n/a (female)
590	1319-1411 calCE (623±20 BP, Wk-43308)	n/a (female)
1647	245-368 calCE (1780±25 BP, PSUAMS-5651)	E1b1b1b2b2; E-V1486 (probably E-M293 but not covered)
1331	586-652 calCE (1479±23 BP, OxA-31427)	n/a (female)
1331	586-652 calCE (1479±23 BP, OxA-31427)	n/a (female)
1331	586-652 calCE (1479±23 BP, OxA-31427)	n/a (female)
1585	259-419 calCE (1687±24 BP, OxA-34839)	n/a (female)
1659	236-338 calCE (1775±18 BP) [R_combine: (1758±25 BP, OxA-35413); (1792±25 BP, OxA-34834)]	..
1666	215-344 calCE (1785±26 BP, OxA-34835)	..
1646	238-376 calCE (1756±26 BP, OxA-34838)	..
1659	236-338 calCE (1775±18 BP) [R_combine: (1758±25 BP, OxA-35413); (1792±25 BP, OxA-34834)]	..
844	1034-1182 calCE (965±25 BP, Wk-36401)	n/a (female)
850	1000-1200 CE	..
650	1200-1400 CE	n/a (female)
650	1200-1400 CE	..
650	1200-1400 CE	..
650	1200-1400 CE	n/a (female)
650	1200-1400 CE	..
650	1200-1400 CE	..
660	1271-1378 calCE (710±20 BP, PSUAMS-9548)	..
650	1200-1400 CE	n/a (female)
850	1031-1158 calCE (955±15 BP, PSUAMS-8565)	..
1350	500-700 CE	n/a (female)
1565	262-425 calCE (1670±20 BP, PSUAMS-5520)	n/a (female)
1218	679-823 calCE (1255±15 BP, PSUAMS-4781)	..
1150	600-1000 CE	n/a (female)
1150	600-1000 CE	n/a (female)
1150	600-1000 CE	n/a (female)
1150	600-1000 CE	..
1456	432-561 calCE (1565±20 BP, PSUAMS-6791)	..
1346	491-717 CE	..
1346	491-717 CE	n/a (female)
1346	491-717 CE	..
1346	491-717 CE	..
1346	491-717 CE	..
1346	491-717 CE	..
1346	491-717 CE	..
410	1457-1631 calCE (365±20 BP, PSUAMS-4143)	..
390	1479-1635 calCE (340±20 BP, PSUAMS-6789)	n/a (female)
377	1515-1652 calCE (295±20 BP, PSUAMS-6790)	..
386	1490-1639 calCE (330±20 BP, PSUAMS-6832)	..
475	1300-1650 CE	..
475	1300-1650 CE	n/a (female)
475	1300-1650 CE	n/a (female)
475	1300-1650 CE	n/a (female)
475	1300-1650 CE	..
400	1450-1650 CE	..
399	1472-1632 calCE (355±15 BP, PSUAMS-8726)	n/a (female)
400	1450-1650 CE	n/a (female)
400	1465-1633 calCE (355±20 BP, PSUAMS-8790)	n/a (female)
464	1444-1618 calCE (400±20 BP, PSUAMS-8836)	..
562	1325-1425 calCE (550±20 BP, PSUAMS-8791)	..
529	1404-1440 calCE (510±20 BP, PSUAMS-8792)	..
450	1400-1600 CE	n/a (female)
450	1400-1600 CE	n/a (female)
437	1453-1620 calCE (380±15 BP, PSUAMS-4218)	..
1716	203-319 calCE (1820±15 BP, PSUAMS-3109)	..
1665	227-337 calCE (1785±20 BP, PSUAMS-4222)	..
1575	350-400 CE	..
1648	241-362 calCE (1755±20 BP, PSUAMS-4141)	..
1350	500-700 CE	n/a (female)
750	1100-1300 CE	..
750	1100-1300 CE	..
851	1031-1158 calCE (955±20 BP, PSUAMS-6840)	n/a (female)
750	1100-1300 CE	..
750	1100-1300 CE	..
942	992-1025 calCE (1040±15 BP, PSUAMS-7861)	n/a (female)
750	1100-1300 CE	n/a (female)
1308	605-665 calCE (1395±20 BP, PSUAMS-4210)	..
1228	675-774 calCE (1275±15 BP, PSUAMS-4140)	..
1222	672-820 calCE (1265±20 BP, PSUAMS-3061)	..
1116	774-884 calCE (1200±15 BP, PSUAMS-4142)	..
1200	600-900 CE	n/a (female)
750	1100-1300 CE	..
950	950-1050 CE	n/a (female)
950	950-1050 CE	..
1127	773-881 calCE (1215±15 BP, PSUAMS-8436)	n/a (female)
1250	600-800 CE	..
1400	400-700 CE	..
1466	426-541 calCE (1590±20 BP, PSUAMS-6792)	n/a (female)
1400	400-700 CE	n/a (female)
1400	400-700 CE	..
650	1200-1400 CE	n/a (female)
1350	500-700 CE	..
1350	500-700 CE	n/a (female)
1350	500-700 CE	..
1350	500-700 CE	n/a (female)
1350	500-700 CE	n/a (female)
1350	500-700 CE	..
1250	600-800 CE	n/a (female)
1478	411-538 calCE (1620±20 BP, PSUAMS-7849)	n/a (female)
450	1400-1600 CE	n/a (female)
1628	247-404 calCE (1735±30 BP, Poz-)	n/a (female)
1537	261-535 calCE (1655±30 BP, Poz-)	n/a (female)
1624	248-406 calCE (1730±30 BP, Poz-)	n/a (female)
700	1200-1300 CE	R1a1a1b1a1a1c1
900	900-1200 CE	n/a (female)
900	1000-1100 CE	I2a1a2b1a1a
900	900-1200 CE	I1
725	1050-1400 calCE (1170±30 BP, Beta-337194)	..
725	1000-1450 CE	n/a (female)
725	1000-1450 CE	..
725	1050-1400 calCE (1170±30 BP, Beta-337194)	..
725	1050-1400 calCE (1170±30 BP, Beta-337194)	..
100	1800-1900 CE	..
315	1450-1820 calCE (1111±42 BP, AA-46433)	n/a (female)
575	1240-1510 calCE (1410±41 BP, AA-57438)	..
435	1350-1680 calCE (1227±45 BP, AA-46427)	n/a (female)
405	1390-1700 calCE (1200±41 BP, AA-57428)	n/a (female)
395	1390-1720 calCE (1182±45 BP, AA-46432)	..
315	1450-1820 calCE (1088±41 BP, AA-57430)	..
230	1480-1960 calCE (1059±40 BP, AA-57431)	..
1065	690-1080 calCE (1918±43 BP, AA-57414)	n/a (female)
505	1250-1640 calCE (1348±82 BP, AA-46416)	..
965	730-1240 calCE (1830±84 BP, AA-46418)	..
505	1250-1640 calCE (1348±82 BP, AA-46416)	..
1550	100-700 CE	n/a (female)
1550	100-700 CE	..
1550	100-700 CE	..
1550	100-700 CE	..
1336	571-651 calCE (1450±30 BP, BA-443413)	..
1550	100-700 CE	n/a (female)
1456	416-575 calCE (1574±40 BP, UBA-31911)	..
1454	417-580 calCE (1570±41 BP, UBA-31912)	..
1447	422-585 calCE (1559±38 BP, UBA-31913)	..
1550	100-700 CE	n/a (female)
1550	100-700 CE	n/a (female)
1550	100-700 CE	n/a (female)
