Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Y haplogroup (manual curation in ISOGG format)
1000	900-1000 CE	R1b1a1b1a1a1c2b1b3b
1100	800-900 CE	I1a1b1a4a
1000	900-1000 CE	R1a1a
1075	850-900 CE	n/a (female)
1000	800-1100 CE	I1a
1050	800-1000 CE	n/a (female)
1075	850-900 CE	n/a (female)
1185	515-1015 calCE	I1a2a
1075	850-900 CE	n/a (female)
1075	850-900 CE	R1b1a1b1a1a1
1075	850-900 CE	n/a (female)
1075	850-900 CE	I1a1b1
1000	800-1100 CE	I1
1150	700-900 CE	n/a (female)
1000	900-1000 CE	I1a1b
934	979-1120 calCE (1024±25 BP, AAR-20096)	n/a (female)
1000	800-1100 CE	R1b1a1b1a1a1c1a2b1
935	978-1120 calCE (1025±25 BP, AAR-20086)	R1b1a1b1a1a1c2b1b4
1145	702-885 calCE (1223±25 BP, AAR-20098)	n/a (female)
1026	774-993 calCE (1133±25 BP, AAR-20100)	R1b1a1b1a1a
979	894-1025 calCE (1070±27 BP, AAR-20104)	I1a2a1a1a1a
1104	772-949 calCE (1182±25 BP, AAR-20111)	n/a (female)
1183	678-878 calCE (1244±27 BP, AAR-20112)	R1b1a1b1a1a2a1a1a2
896	991-1153 calCE (1002±28 BP, AAR-20103)	n/a (female)
1000	900-1000 CE	R1b1a1b1a1a1c2b1a1b2
1075	850-900 CE	n/a (female)
1000	900-1000 CE	n/a (female)
1000	900-1000 CE	E1b1b1a1b1a
1000	900-1000 CE	I1a2a1a1a
1000	900-1000 CE	n/a (female)
1000	900-1000 CE	R1b1a1b1a1a2
1000	900-1000 CE	n/a (female)
1000	900-1000 CE	I1
1000	900-1000 CE	n/a (female)
1075	850-900 CE	R1b1a1b1a1a2
1000	800-1100 CE	n/a (female)
1065	780-990 CE	n/a (female)
1000	800-1100 CE	n/a (female)
1000	800-1100 CE	R1b1a1b1a1a2b1a1
1075	850-900 CE	n/a (female)
1075	850-900 CE	R1b1a1b1a1a1c2b1a1a1a
1075	850-900 CE	n/a (female)
1000	800-1100 CE	F
1000	800-1100 CE	I1a2a2
1000	800-1100 CE	I1a2a2
1075	850-900 CE	n/a (female)
1075	850-900 CE	R1b1a1b1a1a2a1b1a
1075	850-900 CE	n/a (female)
1075	850-900 CE	n/a (female)
1000	800-1100 CE	n/a (female)
900	1000-1100 CE	n/a (female)
900	1000-1100 CE	R1a1a1b1a3a1
900	1000-1100 CE	n/a (female)
900	1000-1100 CE	n/a (female)
900	1000-1100 CE	n/a (female)
900	1000-1100 CE	n/a (female)
900	1000-1100 CE	n/a (female)
900	1000-1100 CE	n/a (female)
900	1000-1100 CE	n/a (female)
900	1000-1100 CE	G2a2b2a1a1b1a
900	1000-1100 CE	n/a (female)
900	1000-1100 CE	n/a (female)
900	1000-1100 CE	n/a (female)
900	1000-1100 CE	n/a (female)
900	1000-1100 CE	..
849	1038-1160 calCE (935±20 BP, PSUAMS-7289)	n/a (female)
1688	211-326 calCE (1805±20 BP, PSUAMS-7290)	..
688	1228-1280 calCE (765±15 BP, PSUAMS-8189)	..
1272	651-772 calCE (1340±15 BP, PSUAMS-8176)	n/a (female)
706	1221-1268 calCE (805±15 BP, PSUAMS-8181)	..
702	1225-1271 calCE (790±15 BP, PSUAMS-8182)	n/a (female)
604	1290-1390 calCE (650±15 BP, PSUAMS-8183)	n/a (female)
512	1422-1454 calCE (465±20 BP, PSUAMS-8797)	n/a (female)
510	1423-1455 calCE (460±20 BP, PSUAMS-7407)	n/a (female)
607	1287-1392 calCE (650±20 BP, PSUAMS-7389)	..
702	1225-1271 calCE (790±15 BP, PSUAMS-8978)	n/a (female)
471	1442-1616 calCE (405±20 BP, PSUAMS-8969)	..
529	1404-1440 calCE (510±20 BP, PSUAMS-9169)	..
517	1414-1450 calCE (480±20 BP, PSUAMS-7393)	..
661	1275-1300 calCE (705±15 BP, PSUAMS-8973)	n/a (female)
1175	650-900 CE	..
587	1322-1410 calCE (570±15 BP, PSUAMS-8970)	n/a (female)
524	1409-1440 calCE (500±15 BP, PSUAMS-9167)	n/a (female)
800	650-1650 CE	n/a (female)
848	1036-1158 calCE (945±15 BP, PSUAMS-8971)	..
1130	708-884 calCE (1215±20 BP, PSUAMS-7367)	..
604	1302-1398 calCE (615±15 BP, PSUAMS-8974)	..
1230	661-775 calCE (1305±20 BP, PSUAMS-8830)	..
1249	652-774 calCE (1330±20 BP, PSUAMS-9165)	n/a (female)
1228	675-774 calCE (1275±15 BP, PSUAMS-5330)	n/a (female)
1015	884-994 calCE (1120±25 BP, PSUAMS-5331)	n/a (female)
1887	8-123 calCE (1960±20 BP, PSUAMS-7385)	n/a (female)
697	1226-1278 calCE (776±19 BP, DSH-7154)	..
1119	788-874 calCE	..
956	970-1018 calCE	..
1150	850-1450 CE	..
1150	850-1450 CE	..
1150	850-1450 CE	..
1150	850-1450 CE	n/a (female)
753	1160-1257 calCE (855±20 BP, PSUAMS-7388)	..
711	1212-1271 calCE (815±20 BP, PSUAMS-8977)	..
688	1227-1283 calCE (760±20 BP, PSUAMS-7296)	..
601	1305-1403 calCE (600±20 BP, PSUAMS-7297)	..
998	893-995 calCE (1090±15 BP, PSUAMS-9164)	..
641	1276-1384 calCE (690±20 BP, PSUAMS-7288)	..
1150	850-1450 CE	n/a (female)
750	1100-1300 CE	n/a (female)
483	1437-1610 calCE (415±20 BP, PSUAMS-7298)	..
534	1402-1431 calCE (525±15 BP, PSUAMS-8179)	n/a (female)
598	1307-1407 calCE (590±20 BP, PSUAMS-8806)	n/a (female)
525	1200-1650 CE	..
516	1419-1451 calCE (475±20 BP, PSUAMS-8807)	n/a (female)
525	1200-1650 CE	n/a (female)
660	1271-1378 calCE (710±20 BP, PSUAMS-7354)	..
679	1232-1285 calCE (750±15 BP, PSUAMS-8178)	..
849	1033-1158 calCE (950±15 BP, PSUAMS-8190)	n/a (female)
852	1030-1155 calCE (960±15 BP, PSUAMS-8191)	..
859	1026-1154 calCE (970±15 BP, PSUAMS-8192)	..
673	1266-1290 calCE (735±15 BP, PSUAMS-8202)	..
800	950-1250 CE	..
615	1282-1389 calCE (665±20 BP, PSUAMS-8798)	..
859	1026-1154 calCE (970±15 BP, PSUAMS-9168)	..
974	897-1024 calCE (1070±20 BP, PSUAMS-8808)	n/a (female)
800	950-1250 CE	n/a (female)
1301	609-665 calCE (1388±15 BP) [R_combine: (1415±20 BP, PSUAMS-11043), (1360±20 BP, PSUAMS-7357)]	..
1175	650-900 CE	n/a (female)
800	950-1250 CE	n/a (female)
1228	667-774 calCE (1290±20 BP, PSUAMS-7358)	..
1175	650-900 CE	..
800	950-1250 CE	n/a (female)
723	1176-1267 calCE (830±20 BP, PSUAMS-8809)	n/a (female)
516	1419-1451 calCE (475±20 BP, PSUAMS-8810)	..
597	1318-1407 calCE (585±15 BP, PSUAMS-9152)	n/a (female)
867	1021-1154 calCE (980±20 BP, PSUAMS-8799)	n/a (female)
625	1250-1400 CE	n/a (female)
800	950-1250 CE	..
464	1444-1618 calCE (400±20 BP, PSUAMS-7390)	..
970	899-1023 calCE (1070±15 BP, PSUAMS-9154)	..
974	897-1024 calCE (1070±20 BP, PSUAMS-8800)	n/a (female)
800	950-1250 CE	n/a (female)
517	1421-1447 calCE (480±15 BP, PSUAMS-9155)	..
1218	679-823 calCE (1255±15 BP, PSUAMS-9156)	..
800	950-1250 CE	..
768	1157-1219 calCE (880±15 BP, PSUAMS-9157)	..
930	991-1115 calCE (1015±20 BP, PSUAMS-7359)	n/a (female)
995	893-1019 calCE (1085±20 BP, PSUAMS-8801)	..
800	950-1250 CE	..
679	1232-1285 calCE (750±15 BP, PSUAMS-9158)	..
536	1397-1437 calCE (525±20 BP, PSUAMS-8802)	..
635	1277-1384 calCE (685±20 BP, PSUAMS-8803)	..
850	1041-1174 calCE (920±15 BP, PSUAMS-9166)	n/a (female)
1112	773-890 calCE (1190±20 BP, PSUAMS-8804)	..
1002	893-995 calCE (1095±15 BP, PSUAMS-9161)	n/a (female)
959	899-1026 calCE (1060±20 BP, PSUAMS-7360)	..
800	950-1250 CE	..
894	993-1151 calCE (995±20 BP, PSUAMS-8805)	..
675	1200-1350 CE	n/a (female)
694	1226-1279 calCE (770±20 BP, PSUAMS-8972)	..
862	1023-1154 calCE (975±20 BP, PSUAMS-8966)	..
675	1200-1350 CE	..
930	992-1038 calCE (1010±15 BP, PSUAMS-8967)	n/a (female)
858	1024-1155 calCE (970±20 BP, PSUAMS-8306)	..
800	950-1250 CE	..
800	950-1250 CE	n/a (female)
855	1029-1154 calCE (965±15 BP, PSUAMS-9153)	..
800	950-1250 CE	..
935	991-1036 calCE (1020±20 BP, PSUAMS-7361)	n/a (female)
800	950-1250 CE	..
800	950-1250 CE	n/a (female)
800	950-1250 CE	..
1217	675-823 calCE (1260±20 BP, PSUAMS-8979)	..
800	950-1250 CE	n/a (female)
800	950-1250 CE	n/a (female)
800	950-1250 CE	n/a (female)
604	1296-1394 calCE (635±15 BP, PSUAMS-7285)	..
600	1309-1403 calCE (595±15 BP, PSUAMS-8188)	..
624	1278-1388 calCE (675±20 BP, PSUAMS-8795)	n/a (female)
614	1282-1388 calCE (665±15 BP, PSUAMS-8180)	..
703	1222-1273 calCE (793±20 BP, DSH-7155)	n/a (female)
543	1327-1433 calCE (536±18 BP, DSH-7159)	..
849	1033-1158 calCE (950±15 BP, PSUAMS-7286)	..
1002	892-995 calCE (1095±20 BP, PSUAMS-7287)	n/a (female)
894	993-1151 calCE (995±20 BP, PSUAMS-8796)	n/a (female)
925	850-1200 CE	n/a (female)
1350	500-700 CE	..
1350	500-700 CE	n/a (female)
1350	500-700 CE	n/a (female)
1350	500-700 CE	..
1350	500-700 CE	..
1350	500-700 CE	n/a (female)
1350	500-700 CE	..
1350	500-700 CE	n/a (female)
1350	500-700 CE	..
1350	500-700 CE	..
1350	500-700 CE	n/a (female)
1350	500-700 CE	n/a (female)
1350	500-700 CE	n/a (female)
1350	500-700 CE	..
1350	500-700 CE	n/a (female)
1350	500-700 CE	n/a (female)
1250	500-900 CE	..
1250	500-900 CE	..
1250	500-900 CE	..
1225	650-800 CE	..
1276	607-774 calCE (1360±30 BP, SUERC-31585)	..
1311	600-670 calCE (1395±30 BP, SUERC-31583)	..
1324	591-661 calCE (1420±30 BP, SUERC-31578)	n/a (female)
1200	600-900 CE	n/a (female)
1200	600-900 CE	n/a (female)
1200	600-900 CE	n/a (female)
1400	500-600 CE	..
1400	500-600 CE	n/a (female)
1400	500-600 CE	..
1400	500-600 CE	n/a (female)
1400	500-600 CE	n/a (female)
1200	600-900 CE	..
1350	500-700 CE	..
1350	500-700 CE	..
1350	500-700 CE	..
1350	500-700 CE	..
1350	500-700 CE	..
1350	500-700 CE	..
1350	500-700 CE	..
1350	500-700 CE	n/a (female)
1350	500-700 CE	..
1350	500-700 CE	n/a (female)
1450	400-600 CE	..
1450	400-600 CE	..
1450	400-600 CE	n/a (female)
1450	400-600 CE	..
1450	400-600 CE	n/a (female)
1450	400-600 CE	..
1450	400-600 CE	n/a (female)
1450	400-600 CE	..
1450	400-600 CE	..
1450	400-600 CE	..
1450	400-600 CE	..
1450	400-600 CE	n/a (female)
1450	400-600 CE	n/a (female)
1450	400-600 CE	..
1450	400-600 CE	..
1450	400-600 CE	..
1450	400-600 CE	..
1450	400-600 CE	..
1450	400-600 CE	..
1450	400-600 CE	n/a (female)
1450	400-600 CE	..
1450	400-600 CE	n/a (female)
1450	400-600 CE	n/a (female)
1450	400-600 CE	n/a (female)
1450	400-600 CE	n/a (female)
1450	400-600 CE	..
1450	400-600 CE	..
1450	400-600 CE	..
1450	400-600 CE	n/a (female)
1450	400-600 CE	n/a (female)
1450	400-600 CE	n/a (female)
1450	400-600 CE	n/a (female)
1450	400-600 CE	..
1450	400-600 CE	n/a (female)
1450	400-600 CE	..
1450	400-600 CE	..
1450	400-600 CE	..
1450	400-600 CE	n/a (female)
1450	400-600 CE	..
1450	400-600 CE	n/a (female)
1450	400-600 CE	..
1450	400-600 CE	n/a (female)
1227	665-775 calCE (1288±25 BP, OxA-29574)	n/a (female)
1234	643-821 calCE (1320±45 BP, OxA-X-2565-12)	n/a (female)
1157	686-883 calCE (1230±25 BP, OxA-29572)	n/a (female)
1250	500-900 CE	n/a (female)
1449	426-575 calCE (1560±30 BP, Beta-397731)	n/a (female)
1479	406-543 calCE (1620±30 BP, Beta-397732)	n/a (female)
1469	416-545 calCE (1600±30 BP, Beta-397733)	n/a (female)
1465	419-548 calCE (1590±30 BP, Beta-397734)	n/a (female)
1175	600-950 CE [635-937 calCE (SUERC-20250)]	n/a (female)
1200	600-900 CE	..
1380	560-580 CE	n/a (female)
1409	450-633 CE	n/a (female)
1425	450-600 CE	n/a (female)
1320	560-700 CE	..
1300	600-700 CE	..
1450	400-600 CE	n/a (female)
1400	500-600 CE	..
1383	442-637 calCE (1513±25 BP, OxA-28869)	..
1263	641-775 calCE (1350±30 BP, SUERC-31579)	n/a (female)
856	1027-1154 calCE (967±17 BP, SUERC-54024)	..
860	1025-1154 calCE (972±18 BP, SUERC-54026)	..
1225	663-777 calCE (1282±26 BP, OxA-27201)	n/a (female)
1450	400-600 CE	..
1450	400-600 CE	n/a (female)
1450	400-600 CE	..
